138;Оренбургский государственный педагогический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
139;Оренбургский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
140;Орловский государственный университет экономики и торговли;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
141;Приокский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
142;Орловский государственный университет имени И.С. Тургенева;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
143;Пензенский государственный технологический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
144;Пензенский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
145;Пензенский государственный университет архитектуры и строительства;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
146;Пермский государственный гуманитарно-педагогический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
147;Пермский национальный исследовательский политехнический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
148;Пермский государственный национальный исследовательский университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
149;Петрозаводский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
150;Самарский государственный социально-педагогический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
151;Поволжский государственный университет сервиса;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
152;Пущинский государственный естественно-научный институт;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
153;Пятигорский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
154;Российский экономический университет имени Г.В. Плеханова;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
155;Российский государственный геологоразведочный университет имени Серго Орджоникидзе;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
156;Российский государственный гидрометеорологический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
157;Российский государственный гуманитарный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
158;Российский государственный педагогический университет им. А. И. Герцена;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
159;Российский государственный профессионально-педагогический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
160;Российский государственный социальный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
161;Балтийский федеральный университет имени Иммануила Канта;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
162;Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
163;Российский государственный университет туризма и сервиса;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
