58;4012;2561;1451;272;207;3740;;3226;0;514;691;34;207;450;12
59;5380;3590;1790;121;415;4953;317;4110;208;635;1151;2;415;734;11
60;14030;4873;9157;326;589;12266;1419;10412;617;1237;1548;14;589;945;71
61;7765;4491;3274;16;340;7035;831;5673;840;522;814;7;340;467;381
62;18284;10198;8086;1029;932;15056;1951;10202;2729;2125;2447;30;932;1485;50
63;15512;7135;8377;439;874;15059;14;12592;290;2177;1885;93;874;918;86
64;17668;7242;10426;1170;738;10958;4822;5312;3609;2037;1796;70;738;988;244
65;6167;2400;3767;255;342;5963;;5036;163;764;736;1;342;393;17
66;15268;8093;7175;712;783;12432;2125;10261;661;1510;2247;27;783;1437;141
67;23491;12452;11039;2540;1169;21373;1486;15909;875;4589;3591;17;1169;2405;52
68;10226;4715;5511;310;405;10116;;8302;0;1814;774;12;405;357;31
69;9785;5821;3964;1041;422;7432;1312;5656;580;1196;942;2;422;518;81
70;6341;3228;3113;146;227;6107;;4345;930;832;449;2;227;220;58
71;1473;1009;464;5;68;1414;84;1289;0;125;156;3;68;85;11
72;3960;2173;1787;663;330;4358;920;2405;1661;292;684;0;330;354;161
73;7267;3727;3540;1715;268;5552;;4689;0;863;665;6;268;391;95
74;22238;11725;10513;1064;843;19849;1325;15477;1398;2974;1726;58;843;825;102
76;2225;1230;995;115;93;1575;535;1339;104;132;282;4;93;185;5
77;5441;3517;1924;404;303;4684;317;3788;431;465;794;1;303;490;16
78;7238;4345;2893;193;434;6810;68;5603;178;1029;921;6;434;481;38
80;6942;3879;3063;116;322;6613;;5464;0;1149;616;10;322;284;59
81;13833;3221;10612;538;726;13594;835;10097;1104;2393;1900;11;726;1163;62
82;29454;12784;16670;674;1416;25522;3612;18937;2266;4319;2848;45;1416;1387;243
83;11282;6306;4976;581;598;10150;758;4848;4329;973;1244;13;598;633;32
84;6995;3065;3930;198;318;6797;;5383;877;537;684;5;318;361;29
85;11001;3332;7669;717;466;10923;78;6397;2240;2286;1391;70;466;855;78
86;11524;4675;6849;419;472;10685;420;8648;74;1963;1001;25;472;504;116
87;4502;3278;1224;173;244;4358;;3863;19;476;411;1;244;166;37
88;7015;4066;2949;129;341;6449;437;4601;561;1287;764;16;341;407;32
89;14332;8947;5385;434;711;11360;2395;8164;1844;1352;1751;19;711;1021;74
90;10507;4561;5946;1374;358;7709;1311;4699;2660;350;699;12;358;329;94
91;11617;9143;2474;808;556;8585;2224;6081;475;2029;1504;13;556;935;43
92;10374;5833;4541;1781;410;8234;209;4809;1985;1440;994;4;410;580;40
93;7384;4814;2570;520;312;6066;727;5202;92;772;568;1;312;255;28
94;20181;10305;9876;2081;1198;16038;1220;8484;5339;2215;2618;23;1198;1397;115
96;15166;7391;7775;552;705;13964;650;8377;1773;3814;1332;4;705;623;142
97;23755;15816;7939;1546;1761;20681;647;12010;5773;2898;4180;83;1761;2336;110
98;12824;5650;7174;655;813;12169;;7668;3689;812;1808;13;813;982;34
99;2725;2725;0;76;320;2669;;2248;0;421;615;0;320;295;19
100;29631;14821;14810;1014;1255;27540;1077;20388;4520;2632;2989;48;1255;1686;144
101;4831;3803;1028;345;390;4291;;3461;12;818;1625;69;390;1166;41
102;6178;3615;2563;312;817;6178;;4628;993;557;1148;12;817;319;73
103;2365;1657;708;143;136;1203;1019;855;105;243;351;0;136;215;430
104;12029;7543;4486;793;753;11452;971;8262;1081;2109;2490;94;753;1643;54
106;6004;4955;1049;32;2450;27934;1242;15206;9706;3022;7442;175;2450;4817;462
107;5616;4762;854;535;338;4769;;3338;267;1164;885;30;338;517;22
108;4510;3169;1341;138;342;3948;1282;2555;1016;377;709;14;342;353;12
109;10171;6520;3651;840;754;9721;414;7866;344;1511;1341;10;754;577;38
112;5410;3627;1783;454;219;4436;326;3514;361;561;389;3;219;167;14
113;21304;4977;16327;1026;450;16490;3788;15227;208;1055;1209;19;450;740;46
