155;Российский государственный геологоразведочный университет имени Серго Орджоникидзе; 50 579,30   ; 30 144,46   ; 20 434,84   ;
156;Российский государственный гидрометеорологический университет; 12 368,70   ; 0     ; 12 368,70   ;
157;Российский государственный гуманитарный университет; 80 144,90   ; 11 220,13   ; 68 924,77   ;
160;Российский государственный социальный университет; 18 502,30   ; 0     ; 18 502,30   ;
161;Балтийский федеральный университет имени Иммануила Канта; 29 814,70   ; 27 971,36   ; 1 843,34   ;
162;Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина; 32 287,10   ; 0     ; 32 287,10   ;
163;Российский государственный университет туризма и сервиса; 16 500,00   ; 219,98   ; 16 280,02   ;
164;Российский университет дружбы народов; 75 100,80   ; 0     ; 75 100,80   ;
165;Российский химико0технологический университет имени Д. И. Менделеева; 109 733,70   ; 31 941,76   ; 77 791,94   ;
167;Ростовский государственный экономический университет (РИНХ); 52 260,40   ; 17 345,69   ; 34 914,72   ;
168;Рыбинский государственный авиационный технический университет имени П. А. Соловьева; 10 000,00   ; 1 235,64   ; 8 764,36   ;
169;Рязанский государственный радиотехнический университет имени В.Ф. Уткина; 76 066,20   ; 860,10   ; 75 206,10   ;
170;Рязанский государственный университет имени С.А. Есенина; 21 354,51   ; 5 132,39   ; 16 222,12   ;
171;Санкт0Петербургский государственный лесотехнический университет имени С.М. Кирова; 56 563,50   ; 36 050,15   ; 20 513,35   ;
172;Санкт0Петербургская государственная художественно0промышленная академия имени А.Л. Штиглица; 10 000,00   ; 10 000,00   ; 0     ;
174;Санкт0Петербургский государственный архитектурно0строительный университет; 31 108,60   ; 1 811,31   ; 29 297,29   ;
175;Санкт0Петербургский горный университет; 42 212,50   ; 42 212,50   ; 0     ;
176;Санкт0Петербургский государственный морской технический университет; 19 278,50   ; 19 278,50   ; 0     ;
177;Санкт0Петербургский политехнический университет Петра Великого; 86 378,40   ; 86 378,40   ; 0     ;
179;Санкт0Петербургский государственный технологический институт (технический университет); 61 734,10   ; 29 327,85   ; 32 406,25   ;
181;Санкт0Петербургский государственный университет промышленных технологий и дизайна; 26 609,50   ; 20 850,78   ; 5 758,72   ;
182;Санкт0Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина); 70 262,90   ; 16 874,70   ; 53 388,20   ;
185;Самарский национальный исследовательский университет имени академика С.П. Королева; 40 610,10   ; 0     ; 40 610,10   ;
186;Самарский государственный технический университет; 54 972,90   ; 0     ; 54 972,90   ;
188;Самарский государственный экономический университет; 86 579,30   ;; 86 579,30   ;
189;Саратовская государственная юридическая академия; 12 081,00   ; 1 639,84   ; 10 441,16   ;
190;Саратовский государственный технический университет имени Гагарина Ю.А.; 58 610,10   ; 35 852,00   ; 22 758,10   ;
191;Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского; 200 000,00   ; 47 470,91   ; 152 529,09   ;
192;Сахалинский государственный университет; 43 977,40   ; 8 552,08   ; 35 425,32   ;
193;Северо0Восточный государственный университет; 50 579,30   ; 18 102,78   ; 32 476,52   ;
194;Северо0Кавказский федеральный университет; 45 940,30   ; 45 940,30   ; 0,00   ;
195;Сибирский государственный автомобильно0дорожный университет (СибАДИ); 192 020,90   ; 4 069,60   ; 187 951,30   ;
197;Сибирский государственный университет науки и технологий имени академика М.Ф. Решетнева; 200 000,00   ; 11 190,26   ; 188 809,74   ;
198;Сибирский государственный индустриальный университет; 15 334,30   ; 14 816,67   ; 517,63   ;
201;Сочинский государственный университет; 10 000,00   ; 0     ; 10 000,00   ;
202;Сыктывкарский государственный университет имени Питирима Сорокина; 23 593,90   ; 5 917,68   ; 17 676,22   ;
203;Тамбовский государственный технический университет; 14 004,20   ; 1 009,33   ; 12 994,87   ;
205;Тверской государственный технический университет; 20 580,70   ; 0     ; 20 580,70   ;
206;Тверской государственный университет; 0     ; 0     ; 0     ;
207;Тихоокеанский государственный университет; 200 000,00   ; 83 066,54   ; 116 933,46   ;
208;Тольяттинский государственный университет; 18 718,00   ; 18 718,00   ; 0,00   ;
209;Томский государственный архитектурно0строительный университет; 16 058,70   ; 16 058,70   ; 0,00   ;
211;Национальный исследовательский Томский государственный университет; 48 129,70   ; 48 129,70   ; 0     ;
212;Томский государственный университет систем управления и радиоэлектроники; 22 788,30   ; 22 788,30   ; 0     ;
213;Национальный исследовательский Томский политехнический университет; 200 000,00   ; 57 415,61   ; 142 584,39   ;
215;Тульский государственный университет; 200 000,00   ; 4 608,21   ; 195 391,79   ;
216;Тувинский государственный университет; 108 765,50   ; 0     ; 108 765,50   ;
218;Тюменский индустриальный университет; 52 832,80   ; 52 832,80   ; 0     ;
219;Тюменский государственный университет; 40 683,40   ; 0     ; 40 683,40   ;
220;Удмуртский государственный университет; 156 972,20   ; 166,30   ; 156 805,90   ;
222;Ульяновский государственный технический университет; 20 805,90   ; 4 771,13   ; 16 034,77   ;
223;Ульяновский государственный университет; 105 952,70   ; 2 884,52   ; 103 068,18   ;
224;Уральский государственный архитектурно0художественный университет; 10 000,00   ; 4 159,04   ; 5 840,96   ;
225;Уральский государственный юридический университет; 14 250,00   ; 0     ; 14 250,00   ;
226;Уральский государственный горный университет; 16 396,40   ; 16 396,40   ; 0     ;
227;Уральский государственный лесотехнический университет; 67 503,00   ; 15 204,67   ; 52 298,33   ;
229;Уральский федеральный университет имени первого Президента России Б.Н. Ельцина; 110 701,10   ; 110 701,10   ;-0,00   ;
230;Уральский государственный экономический университет; 18 625,78   ; 4 375,78   ; 14 250,00   ;
233;Уфимский государственный нефтяной технический университет; 35 703,90   ; 12 288,84   ; 23 415,06   ;
234;Ухтинский государственный технический университет; 47 020,00   ; 47 019,99   ; 0,01   ;
235;Хабаровский государственный университет экономики и права; 11 401,30   ; 1 308,08   ; 10 093,22   ;
236;Хакасский государственный университет им. Н.Ф. Катанова; 40 343,40   ; 7 751,03   ; 32 592,37   ;
238;Челябинский государственный университет; 32 562,60   ; 9 399,64   ; 23 162,96   ;
239;Череповецкий государственный университет; 80 697,30   ; 14 681,38   ; 66 015,92   ;
241;Чеченский государственный университет; 48 398,90   ; 48 398,90   ; 0,00   ;
242;Забайкальский государственный университет; 116 501,20   ; 13 096,33   ; 103 404,87   ;
244;Чувашский государственный университет имени И.Н. Ульянова; 25 637,70   ; 25 637,70   ; 0,00   ;
246;Южно0Российский государственный политехнический университет (НПИ) имени М.И. Платова; 35 035,40   ;; 35 035,40   ;
247;Южно0Уральский государственный университет; 55 460,30   ; 592,89   ; 54 867,41   ;
248;Южный федеральный университет; 77 806,70   ; 21 861,34   ; 55 945,36   ;
250;Ярославский государственный технический университет; 60 714,70   ; 20 179,20   ; 40 535,50   ;
251;Ярославский государственный университет им. П.Г. Демидова; 16 334,10   ; 14 325,47   ; 2 008,63   ;
313;Сибирский федеральный университет; 112 812,30   ; 0     ; 112 812,30   ;
316;Казанский (Приволжский) федеральный университет; 142 468,40   ; 85 727,31   ; 56 741,09   ;
317;Дальневосточный федеральный университет; 18 187,10   ; 18 187,07   ; 0,03   ;
320;Северо0Восточный федеральный университет имени М.К. Аммосова; 78 831,50   ; 46 557,53   ; 32 273,97   ;
321;Псковский государственный университет; 15 236,10   ; 4 125,75   ; 11 110,35   ;
325;Северный (Арктический) федеральный университет имени М.В. Ломоносова; 200 000,00   ; 30 151,00   ; 169 849,00   ;
330;Санкт0Петербургский государственный экономический университет; 51 635,40   ; 0     ; 51 635,40   ;
331;Ивановский государственный политехнический университет; 52 305,20   ; 4 664,75   ; 47 640,45   ;
343;Севастопольский государственный университет; 153 895,90   ; 86 645,11   ; 67 250,79   ;
344;Крымский федеральный университет имени В.И. Вернадского; 88 397,20   ; 88 397,20   ; 0     ;
357;Югорский государственный университет; 13 371,70   ; 0     ; 13 371,70   ;
359;Орловский государственный университет экономики и торговли; 13 208,00   ;; 13 208,00   ;
360;Северо0Осетинский государственный университет имени Коста Левановича Хетагурова; 19 391,00   ; 5 096,50   ; 14 294,50   ;
363;Северо0Кавказский горно0металлургический институт (государственный технологический университет); 14 820,40   ; 4 188,11   ; 10 632,29   ;
406;Нижневартовский государственный университет; 56 866,30   ; 0     ; 56 866,30   ;
465;Санкт0Петербургский национальный исследовательский Академический университет имени Ж.И. Алферова Российской академии наук; 9 939,09   ; 9 939,09   ; 0     ;
626;Мурманский государственный технический университет; 72 813,20   ; 17 913,76   ; 54 899,44   ;
717;Московский политехнический университет; 103 009,50   ; 11 670,59   ; 91 338,91   ;
